year	round	pick	player	position	school	allstar_appearance	allstar_by_school	draft_picks
1980	1	1	Carroll, Joe Barry	F/C	Purdue	1	1	1
1980	1	2	Griffith, Darrell	G	Louisville	0	0	1
1980	1	3	McHale, Kevin	F/C	Minnesota	7	1	1
1980	1	4	Ransey, Kelvin	G	Ohio State	0	0	1
1980	1	5	Ray, James	F	Jacksonville	0	0	1
1980	1	6	O'Koren, Mike	G/F	North Carolina	0	0	1
1980	1	7	Gminski, Mike	C	Duke	0	0	1
1980	1	8	Toney, Andrew	G	Southwestern Louisiana	2	1	1
1980	1	9	Brooks, Michael	F	La Salle	0	0	1
1980	1	10	Lester, Ronnie	G	Iowa	0	0	1
1980	1	11	Vandeweghe, Kiki	F	UCLA	2	1	1
1980	1	12	Woodson, Mike	G/F	Indiana	0	0	1
1980	1	13	Brown, Rickey	F/C	Mississippi State	0	0	1
1980	1	14	Matthews, Wes	G	Wisconsin	0	0	1
1980	1	15	Johnson, Reggie	F/C	Tennessee	0	0	1
1980	1	16	Whitney, Charles	G/F	NC State	0	0	1
1980	1	17	Drew, Larry	G	Missouri	0	0	1
1980	1	18	Collins, Don	G/F	Washington State	0	0	1
1980	1	19	Duren, John	G	Georgetown	0	0	1
1980	1	20	Hanzlik, Bill	G/F	Notre Dame	0	0	1
1980	1	21	Davis, Monti	F	Tennessee State	0	0	1
1980	1	22	Kinch, Chad	G	UNC Charlotte	0	0	1
1980	1	23	Nicks, Carl	G	Indiana State	0	0	1
1980	2	24	Smith, Larry	F/C	Alcorn State	0	0	1
1980	2	25	Ruland, Jeff	F/C	Iona	1	1	1
1980	2	26	Worthen, Sam	F	Marquette	0	0	1
1980	2	27	Stroud, John	F	Mississippi	0	0	1
1980	2	28	Shelton, Craig	F	Georgetown	0	0	1
1980	2	29	Orr, Louis	F	Syracuse	0	0	1
1980	2	30	Natt, Kenny	G	Northeast Louisiana	0	0	1
1980	2	31	Robinson, Wayne	F	Virginia Tech	0	0	1
1980	2	32	Lawrence, David	F	McNeese State	0	0	1
1980	2	33	Collins, Bruce	G/F	Weber State	0	0	1
1980	2	34	Bouie, Roosevelt	C	Syracuse	0	0	1
1980	2	35	Mahorn, Rick	F/C	Hampton	0	0	1
1980	2	36	Scales, DeWayne	F	LSU	0	0	1
1980	2	37	Carter, Butch	G	Indiana	0	0	1
1980	2	38	Stotts, Terry	F	Oklahoma	0	0	1
1980	2	39	Wiley, Michael	F	Long Beach State	0	0	1
1980	2	40	Miller, Dick	F	Toledo	0	0	1
1980	2	41	Oldham, Jawann	C	Seattle	0	0	1
1980	2	42	Belton, Kimberly	F	Stanford	0	0	1
1980	2	43	Williams, Billy	G	Clemson	0	0	1
1980	2	44	Austin, Clyde	G	NC State	0	0	1
1980	2	45	Branson, Brad	F/C	SMU	0	0	1
1980	2	46	Hallman, Arnette	F	Purdue	0	0	1
1981	1	1	Aguirre, Mark	G/F	DePaul	3	1	1
1981	1	2	Thomas, Isiah	G	Indiana	12	1	1
1981	1	3	Williams, Buck	F/C	Maryland	3	1	1
1981	1	4	Wood, Al	G/F	North Carolina	0	0	1
1981	1	5	Vranes, Danny	F	Utah	0	0	1
1981	1	6	Woolridge, Orlando	F	Notre Dame	0	0	1
1981	1	7	Johnson, Steve	F/C	Oregon State	1	1	1
1981	1	8	Chambers, Tom	F/C	Utah	4	1	1
1981	1	9	Blackman, Rolando	G	Kansas State	4	1	1
1981	1	10	King, Albert	G/F	Maryland	0	0	1
1981	1	11	Johnson, Frank	G	Wake Forest	0	0	1
1981	1	12	Tripucka, Kelly	G/F	Notre Dame	2	1	1
1981	1	13	Schayes, Danny	F/C	Syracuse	0	0	1
1981	1	14	Williams, Herb	F/C	Ohio State	0	0	1
1981	1	15	Lamp, Jeff	G/F	Virginia	0	0	1
1981	1	16	Valentine, Darnell	G	Kansas	0	0	1
1981	1	17	Loder, Kevin	G/F	Alabama State	0	0	1
1981	1	18	Tolbert, Ray	F	Indiana	0	0	1
1981	1	19	McGee, Mike	G/F	Michigan	0	0	1
